 I,           1 ,   1.30000990E-05
 I,          57 ,   8.29999335E-05
 I,         114 ,   2.50000507E-04
 I,         171 ,   7.56997615E-04
 I,         228 ,   1.08700246E-03
 I,         284 ,   1.91000104E-03
 I,         341 ,   3.41698527E-03
 I,         398 ,   5.13499975E-03
 I,         455 ,   1.14300251E-02
 I,         512 ,   9.59897041E-03
 I,           1 ,   8.29999335E-05
 I,          57 ,   1.26000028E-04
 I,         114 ,   3.55999917E-04
 I,         171 ,   6.65999949E-04
 I,         228 ,   1.23399496E-03
 I,         284 ,   1.83600187E-03
 I,         341 ,   3.42801213E-03
 I,         398 ,   6.33400679E-03
 I,         455 ,   7.78496265E-03
 I,         512 ,   9.26005840E-03
 I,           1 ,   1.69998966E-05
 I,          57 ,   6.20000064E-05
 I,         114 ,   2.53999606E-04
 I,         171 ,   6.46002591E-04
 I,         228 ,   1.06799603E-03
 I,         284 ,   1.82600319E-03
 I,         341 ,   3.51297855E-03
 I,         398 ,   5.18196821E-03
 I,         455 ,   1.77029967E-02
 I,         512 ,   1.00460052E-02
 I,           1 ,   1.59998890E-05
 I,         114 ,   2.36000866E-04
 I,         228 ,   9.80004668E-04
 I,         342 ,   3.35299969E-03
 I,         455 ,   7.95501471E-03
 I,         569 ,   1.50809288E-02
 I,         683 ,   2.91209221E-02
 I,         796 ,   4.79707718E-02
 I,         910 ,   8.01382065E-02
 I,        1024 ,   9.70687866E-02
